"","-1","-0.75","-0.5","-0.25","0","0.25","0.5","0.75","1","1.25","1.5","1.75","2","2.25","2.5","2.75","3"
"Naive",0.35,0.34,0.4,0.48,0.66,0.92,0.98,0.83,0.61,0.35,0.35,0.38,0.46,0.56,0.7,0.81,0.94
"SI",0.9,0.87,0.84,0.9,0.98,0.95,0.95,0.88,0.81,0.79,0.81,0.91,0.94,0.97,0.99,0.99,1
"SIMEX",0.651,0.663,0.675,0.678,0.795,0.797,0.769,0.79,0.812,0.775,0.808,0.753,0.889,0.881,0.884,0.841,0.876
"MI",0.84,0.84,0.83,0.9,0.98,1,1,0.98,0.93,0.85,0.82,0.83,0.95,0.95,0.95,0.99,1
"Naive",0.39,0.37,0.37,0.42,0.59,0.76,0.92,0.91,0.8,0.68,0.6,0.58,0.68,0.76,0.82,0.87,0.91
"SI",0.83,0.78,0.81,0.82,0.84,0.87,0.92,0.94,0.9,0.9,0.89,0.88,0.88,0.9,0.94,0.95,0.93
"SIMEX",0.63,0.702,0.731,0.734,0.798,0.838,0.85,0.793,0.766,0.727,0.802,0.887,0.871,0.835,0.82,0.747,0.736
"MI",0.86,0.85,0.82,0.84,0.92,0.95,1,1,1,0.97,0.96,0.96,0.98,0.99,0.99,0.99,0.99
"Naive",0.4,0.33,0.33,0.37,0.51,0.78,0.97,0.95,0.86,0.67,0.51,0.47,0.48,0.6,0.73,0.84,0.88
"SI",0.94,0.94,0.92,0.89,0.91,0.93,0.94,0.9,0.85,0.8,0.79,0.85,0.93,0.98,0.98,0.97,0.97
"SIMEX",0.897,0.872,0.835,0.835,0.814,0.742,0.824,0.727,0.73,0.693,0.721,0.723,0.756,0.901,0.89,0.912,0.885
"MI",0.84,0.78,0.72,0.76,0.89,0.99,1,1,0.97,0.91,0.79,0.76,0.8,0.9,0.97,0.99,1
"Naive",0.91,0.92,0.94,0.97,0.96,0.94,0.89,0.69,0.47,0.33,0.22,0.14,0.13,0.07,0.13,0.18,0.18
"SI",0.92,0.91,0.92,0.89,0.91,0.89,0.82,0.73,0.58,0.38,0.28,0.22,0.19,0.29,0.32,0.42,0.52
"SIMEX",0.753,0.781,0.832,0.865,0.875,0.821,0.822,0.644,0.534,0.444,0.326,0.376,0.253,0.312,0.33,0.394,0.467
"MI",1,1,1,1,1,1,1,0.93,0.75,0.52,0.28,0.2,0.21,0.26,0.34,0.5,0.58
