"","-1","-0.75","-0.5","-0.25","0","0.25","0.5","0.75","1","1.25","1.5","1.75","2","2.25","2.5","2.75","3"
"Sample ERC",0.343,0.373,0.409,0.452,0.499,0.551,0.602,0.65,0.691,0.725,0.752,0.774,0.79,0.803,0.813,0.821,0.827
"Naive",0.439,0.463,0.488,0.515,0.542,0.567,0.596,0.625,0.647,0.672,0.696,0.716,0.734,0.75,0.764,0.779,0.792
"SI",0.354,0.389,0.425,0.466,0.507,0.548,0.59,0.634,0.67,0.7,0.731,0.756,0.779,0.797,0.813,0.826,0.838
"SIMEX",0.318,0.357,0.398,0.446,0.497,0.545,0.594,0.636,0.676,0.709,0.742,0.768,0.786,0.806,0.825,0.842,0.86
"MI",0.436,0.461,0.487,0.513,0.539,0.566,0.593,0.62,0.646,0.671,0.694,0.715,0.734,0.751,0.766,0.781,0.794
"Sample ERC",0.363,0.392,0.427,0.467,0.511,0.559,0.607,0.652,0.691,0.723,0.747,0.765,0.779,0.789,0.797,0.803,0.808
"Naive",0.465,0.491,0.518,0.544,0.568,0.595,0.625,0.645,0.666,0.69,0.709,0.723,0.736,0.75,0.764,0.78,0.79
"SI",0.378,0.405,0.442,0.493,0.531,0.566,0.604,0.637,0.677,0.709,0.737,0.755,0.767,0.77,0.781,0.801,0.807
"SIMEX",0.363,0.395,0.446,0.482,0.518,0.559,0.599,0.639,0.681,0.716,0.737,0.762,0.774,0.781,0.795,0.829,0.846
"MI",0.464,0.488,0.514,0.54,0.565,0.592,0.617,0.641,0.664,0.685,0.705,0.721,0.736,0.75,0.761,0.77,0.779
"Sample ERC",0.343,0.373,0.409,0.452,0.499,0.551,0.602,0.65,0.691,0.725,0.752,0.774,0.79,0.803,0.813,0.821,0.827
"Naive",0.433,0.459,0.489,0.52,0.55,0.584,0.613,0.64,0.668,0.695,0.717,0.737,0.755,0.769,0.781,0.794,0.806
"SI",0.363,0.399,0.437,0.475,0.516,0.559,0.598,0.635,0.67,0.702,0.729,0.754,0.774,0.792,0.808,0.822,0.834
"SIMEX",0.359,0.393,0.428,0.469,0.508,0.552,0.594,0.629,0.664,0.697,0.727,0.751,0.769,0.789,0.807,0.823,0.838
"MI",0.438,0.466,0.494,0.523,0.552,0.581,0.61,0.637,0.662,0.685,0.707,0.726,0.744,0.76,0.775,0.788,0.8
"Sample ERC",0.363,0.392,0.427,0.467,0.511,0.559,0.607,0.652,0.691,0.723,0.747,0.765,0.779,0.789,0.797,0.803,0.808
"Naive",0.361,0.402,0.446,0.483,0.523,0.558,0.589,0.613,0.635,0.657,0.674,0.682,0.688,0.69,0.692,0.691,0.69
"SI",0.264,0.309,0.362,0.423,0.477,0.525,0.569,0.607,0.639,0.664,0.681,0.687,0.693,0.694,0.693,0.689,0.679
"SIMEX",0.253,0.3,0.35,0.409,0.469,0.525,0.569,0.605,0.639,0.666,0.68,0.689,0.696,0.698,0.695,0.687,0.676
"MI",0.365,0.403,0.442,0.479,0.514,0.547,0.577,0.604,0.627,0.645,0.66,0.67,0.678,0.683,0.687,0.689,0.688
